product_id,product_name,product_type,product_category,interest_rate,credit_limit_min,credit_limit_max,minimum_income_required,minimum_credit_score,maximum_debt_to_income,annual_fee,rewards_program,benefits,eligibility_criteria
1,Platinum Rewards Card,credit_card,premium,0.1599,10000.0,50000.0,80000.0,750,0.3,95.0,Points & Miles,"Airport lounge access, travel insurance",Excellent credit required
2,Cashback Plus Card,credit_card,standard,0.1899,1000.0,15000.0,40000.0,680,0.4,0.0,Cashback,2% cashback on all purchases,Good credit required
3,Secured Starter Card,credit_card,secured,0.2199,200.0,5000.0,15000.0,500,0.6,25.0,Cashback,Credit building program,Security deposit required
4,Business Gold Card,credit_card,premium,0.1399,15000,100000,100000,780,0.25,175,Points,Benefits for Business Gold Card,Standard eligibility for Business Gold Card
5,Student Card,credit_card,basic,0.2099,300,3000,0,600,0.5,0,Cashback,Benefits for Student Card,Standard eligibility for Student Card
6,Travel Rewards Card,credit_card,premium,0.1699,5000,25000,60000,720,0.35,69,Cashback,Benefits for Travel Rewards Card,Standard eligibility for Travel Rewards Card
7,Balance Transfer Card,credit_card,standard,0.1999,2000,20000,35000,660,0.45,0,Cashback,Benefits for Balance Transfer Card,Standard eligibility for Balance Transfer Card
8,Gas Rewards Card,credit_card,standard,0.1849,1500,12000,30000,640,0.4,0,Cashback,Benefits for Gas Rewards Card,Standard eligibility for Gas Rewards Card
9,Personal Loan,personal_loan,standard,0.0899,5000,50000,50000,650,0.4,0,Standard,Benefits for Personal Loan,Standard eligibility for Personal Loan
10,Auto Loan,personal_loan,standard,0.0549,10000,75000,40000,630,0.45,0,Standard,Benefits for Auto Loan,Standard eligibility for Auto Loan
11,Home Equity Loan,mortgage,standard,0.0699,25000,500000,75000,700,0.35,0,Standard,Benefits for Home Equity Loan,Standard eligibility for Home Equity Loan
12,High-Yield Savings,savings_account,premium,0.0425,1000,1000000,30000,600,0.5,0,Standard,Benefits for High-Yield Savings,Standard eligibility for High-Yield Savings
13,Certificate of Deposit,cd,standard,0.0475,500,100000,20000,580,0.6,0,Standard,Benefits for Certificate of Deposit,Standard eligibility for Certificate of Deposit
14,Financial Product 14,savings_account,standard,0.15,2974,79682,71962,551,0.36,0,Miles,Standard benefits package,Standard eligibility requirements
15,Financial Product 15,credit_card,basic,0.167,1370,85557,56373,714,0.37,50,Cashback,Standard benefits package,Standard eligibility requirements
16,Financial Product 16,personal_loan,basic,0.1474,1006,10270,32619,715,0.31,150,Points,Standard benefits package,Standard eligibility requirements
17,Financial Product 17,personal_loan,standard,0.1254,2009,54631,74358,733,0.52,50,Miles,Standard benefits package,Standard eligibility requirements
18,Financial Product 18,credit_card,basic,0.198,3399,88604,65514,550,0.52,150,Cashback,Standard benefits package,Standard eligibility requirements
19,Financial Product 19,credit_card,standard,0.1071,3319,38468,42919,740,0.37,95,Miles,Standard benefits package,Standard eligibility requirements
20,Financial Product 20,personal_loan,basic,0.2037,2833,53450,74393,624,0.43,50,Cashback,Standard benefits package,Standard eligibility requirements
21,Financial Product 21,personal_loan,standard,0.2065,1468,90601,63759,743,0.41,150,None,Standard benefits package,Standard eligibility requirements
22,Financial Product 22,credit_card,basic,0.1403,4587,66086,80144,732,0.43,0,Points,Standard benefits package,Standard eligibility requirements
23,Financial Product 23,credit_card,basic,0.1442,3924,18768,41386,556,0.54,25,None,Standard benefits package,Standard eligibility requirements
24,Financial Product 24,savings_account,basic,0.1142,4984,17201,78317,719,0.32,150,None,Standard benefits package,Standard eligibility requirements
25,Financial Product 25,credit_card,standard,0.0992,1432,61221,87712,710,0.46,95,None,Standard benefits package,Standard eligibility requirements
26,Financial Product 26,personal_loan,basic,0.2152,4002,36803,68948,612,0.34,25,Miles,Standard benefits package,Standard eligibility requirements
27,Financial Product 27,credit_card,basic,0.1211,1772,19386,43095,646,0.55,150,Points,Standard benefits package,Standard eligibility requirements
28,Financial Product 28,savings_account,basic,0.1235,2307,75271,35982,571,0.39,25,Points,Standard benefits package,Standard eligibility requirements
29,Financial Product 29,credit_card,standard,0.058,2505,69448,69125,747,0.57,150,Cashback,Standard benefits package,Standard eligibility requirements
30,Financial Product 30,credit_card,basic,0.1895,2197,28769,59033,661,0.4,150,Miles,Standard benefits package,Standard eligibility requirements
31,Financial Product 31,personal_loan,basic,0.0917,4421,80172,58797,576,0.45,150,Cashback,Standard benefits package,Standard eligibility requirements
32,Financial Product 32,savings_account,premium,0.1325,1086,54672,52565,684,0.34,0,None,Standard benefits package,Standard eligibility requirements
33,Financial Product 33,personal_loan,basic,0.2242,3677,56281,46452,729,0.43,50,Cashback,Standard benefits package,Standard eligibility requirements
34,Financial Product 34,personal_loan,premium,0.2232,2304,58339,33337,586,0.45,50,Points,Standard benefits package,Standard eligibility requirements
35,Financial Product 35,personal_loan,standard,0.2424,2539,74095,72897,722,0.42,95,Miles,Standard benefits package,Standard eligibility requirements
36,Financial Product 36,personal_loan,premium,0.1558,4688,48470,80818,590,0.35,150,Points,Standard benefits package,Standard eligibility requirements
37,Financial Product 37,savings_account,premium,0.2161,677,50216,78319,710,0.34,0,Miles,Standard benefits package,Standard eligibility requirements
38,Financial Product 38,savings_account,standard,0.2441,3930,52859,75210,686,0.58,0,Cashback,Standard benefits package,Standard eligibility requirements
39,Financial Product 39,savings_account,standard,0.2233,1535,68629,79773,732,0.45,150,Cashback,Standard benefits package,Standard eligibility requirements
40,Financial Product 40,savings_account,premium,0.1904,4111,86586,53247,615,0.51,50,Cashback,Standard benefits package,Standard eligibility requirements
41,Financial Product 41,credit_card,standard,0.1651,2967,67289,73660,551,0.36,25,Points,Standard benefits package,Standard eligibility requirements
42,Financial Product 42,personal_loan,premium,0.16,551,47601,70205,676,0.52,95,Cashback,Standard benefits package,Standard eligibility requirements
43,Financial Product 43,personal_loan,standard,0.2228,2886,95909,31807,667,0.31,25,Cashback,Standard benefits package,Standard eligibility requirements
44,Financial Product 44,credit_card,premium,0.1406,1679,41852,50305,663,0.49,25,None,Standard benefits package,Standard eligibility requirements
45,Financial Product 45,savings_account,basic,0.1906,3094,18392,76735,674,0.42,95,None,Standard benefits package,Standard eligibility requirements
46,Financial Product 46,personal_loan,standard,0.1314,2299,97936,43431,750,0.59,150,Miles,Standard benefits package,Standard eligibility requirements
47,Financial Product 47,credit_card,standard,0.0726,1633,29863,28547,562,0.57,150,Points,Standard benefits package,Standard eligibility requirements
48,Financial Product 48,savings_account,premium,0.0753,2573,81190,51678,602,0.6,25,Miles,Standard benefits package,Standard eligibility requirements
49,Financial Product 49,personal_loan,basic,0.1653,687,76782,46808,726,0.46,95,Miles,Standard benefits package,Standard eligibility requirements
50,Financial Product 50,savings_account,basic,0.1776,2194,59963,26143,635,0.49,50,Points,Standard benefits package,Standard eligibility requirements
