recommendation_id,member_id,product_id,recommendation_date,recommendation_score,recommendation_reason,member_health_score,credit_utilization_at_time,payment_reliability_at_time,recommendation_status,expires_at
1,1,37,2025-06-25,100,"Recommended based on stable income, low credit utilization",100,0.2029,75.0,expired,2025-07-23
2,1,21,2025-06-19,100,"Recommended based on stable income, low credit utilization",100,0.2029,75.0,pending,2025-09-05
3,2,37,2025-05-21,100,"Recommended based on good credit score, high income",100,0.2409,80.0,pending,2025-08-14
4,3,21,2025-06-18,83,Recommended based on low credit utilization,100,0.1,66.67,accepted,2025-08-30
5,3,3,2025-06-05,100,Recommended based on low credit utilization,100,0.1,66.67,declined,2025-09-21
6,3,13,2025-07-05,94,Recommended based on low credit utilization,100,0.1,66.67,accepted,2025-09-29
7,4,20,2025-06-01,100,"Recommended based on excellent credit score, high income",100,0.0957,85.71,accepted,2025-07-24
8,4,41,2025-06-18,90,"Recommended based on excellent credit score, high income",100,0.0957,85.71,accepted,2025-08-05
9,4,37,2025-07-02,100,"Recommended based on excellent credit score, high income",100,0.0957,85.71,pending,2025-09-13
10,4,46,2025-06-11,100,"Recommended based on excellent credit score, high income",100,0.0957,85.71,declined,2025-07-17
11,5,5,2025-07-04,100,Standard recommendation,100,0.3,81.82,declined,2025-09-30
12,5,3,2025-05-29,100,Standard recommendation,100,0.3,81.82,accepted,2025-08-31
13,5,12,2025-06-03,98,Standard recommendation,100,0.3,81.82,pending,2025-10-11
14,6,21,2025-06-30,100,"Recommended based on good credit score, stable income",100,0.275,88.89,pending,2025-08-15
15,6,13,2025-07-11,100,"Recommended based on good credit score, stable income",100,0.275,88.89,accepted,2025-10-12
16,6,19,2025-06-29,100,"Recommended based on good credit score, stable income",100,0.275,88.89,accepted,2025-09-24
17,7,19,2025-06-07,99,"Recommended based on high income, low credit utilization",100,0.2317,71.43,accepted,2025-10-09
18,7,21,2025-05-29,100,"Recommended based on high income, low credit utilization",100,0.2317,71.43,pending,2025-07-25
19,8,26,2025-05-31,92,Recommended based on high income,100,0.5,62.5,expired,2025-08-18
20,8,30,2025-07-10,98,Recommended based on high income,100,0.5,62.5,declined,2025-07-31
21,8,5,2025-07-14,89,Recommended based on high income,100,0.5,62.5,pending,2025-08-18
22,9,28,2025-05-31,75,Recommended based on stable income,100,0.3235,57.14,expired,2025-10-11
23,9,3,2025-05-18,100,Recommended based on stable income,100,0.3235,57.14,accepted,2025-07-17
24,10,33,2025-05-19,100,"Recommended based on excellent credit score, high income",100,0.157,94.12,accepted,2025-10-01
25,10,12,2025-07-07,100,"Recommended based on excellent credit score, high income",100,0.157,94.12,declined,2025-07-19
26,11,3,2025-06-24,100,Standard recommendation,100,0.8,66.67,accepted,2025-08-31
27,12,8,2025-06-05,100,"Recommended based on good credit score, high income",100,0.2387,93.33,expired,2025-08-19
28,12,7,2025-05-25,100,"Recommended based on good credit score, high income",100,0.2387,93.33,pending,2025-09-05
29,13,3,2025-06-30,100,Recommended based on low credit utilization,100,0.1,66.67,pending,2025-10-04
30,14,13,2025-07-01,100,Standard recommendation,100,0.4103,71.43,declined,2025-07-20
31,14,5,2025-05-28,100,Standard recommendation,100,0.4103,71.43,pending,2025-08-30
32,15,20,2025-05-22,100,"Recommended based on good credit score, stable income",100,0.3,80.0,accepted,2025-08-12
33,16,15,2025-07-10,100,"Recommended based on good credit score, stable income",100,0.1,100.0,expired,2025-08-24
34,16,46,2025-06-21,100,"Recommended based on good credit score, stable income",100,0.1,100.0,declined,2025-08-17
35,17,3,2025-06-28,100,Standard recommendation,100,0.5,69.23,declined,2025-08-26
36,17,21,2025-06-05,89,Standard recommendation,100,0.5,69.23,accepted,2025-09-18
37,18,13,2025-06-02,100,Recommended based on low credit utilization,100,0.1,75.0,accepted,2025-09-09
38,18,3,2025-06-21,100,Recommended based on low credit utilization,100,0.1,75.0,accepted,2025-07-28
39,19,44,2025-05-29,100,"Recommended based on stable income, low credit utilization",100,0.2106,69.23,expired,2025-08-18
40,19,5,2025-06-27,100,"Recommended based on stable income, low credit utilization",100,0.2106,69.23,accepted,2025-08-20
41,20,13,2025-06-20,100,Standard recommendation,100,0.3,80.0,pending,2025-08-27
42,20,3,2025-05-19,100,Standard recommendation,100,0.3,80.0,pending,2025-08-15
43,20,5,2025-06-03,98,Standard recommendation,100,0.3,80.0,declined,2025-08-19
44,21,12,2025-07-09,83,Recommended based on low credit utilization,100,0.1825,66.67,pending,2025-09-24
45,21,37,2025-06-12,76,Recommended based on low credit utilization,100,0.1825,66.67,pending,2025-07-28
46,22,19,2025-07-01,100,"Recommended based on good credit score, high income",100,0.5795,87.5,pending,2025-08-03
47,22,27,2025-06-12,100,"Recommended based on good credit score, high income",100,0.5795,87.5,pending,2025-09-29
48,22,34,2025-06-28,100,"Recommended based on good credit score, high income",100,0.5795,87.5,accepted,2025-10-08
49,23,13,2025-05-25,100,Recommended based on high income,100,0.3,60.0,pending,2025-08-15
50,23,10,2025-06-01,96,Recommended based on high income,100,0.3,60.0,declined,2025-09-09
51,24,5,2025-07-04,100,"Recommended based on excellent credit score, high income",100,0.2504,91.67,accepted,2025-08-21
52,24,42,2025-06-30,100,"Recommended based on excellent credit score, high income",100,0.2504,91.67,pending,2025-08-07
53,25,5,2025-06-17,91,Recommended based on stable income,100,0.95,83.33,pending,2025-09-19
54,25,34,2025-07-15,75,Recommended based on stable income,100,0.95,83.33,declined,2025-08-11
55,26,34,2025-07-10,80,Recommended based on stable income,100,0.5595,57.14,expired,2025-07-20
56,26,49,2025-06-20,95,Recommended based on stable income,100,0.5595,57.14,expired,2025-08-26
57,26,3,2025-05-21,100,Recommended based on stable income,100,0.5595,57.14,accepted,2025-10-03
58,26,18,2025-07-06,100,Recommended based on stable income,100,0.5595,57.14,accepted,2025-09-27
59,27,21,2025-06-23,100,"Recommended based on stable income, low credit utilization",100,0.1,66.67,accepted,2025-08-23
60,28,18,2025-06-06,78,Standard recommendation,100,0.8,75.0,pending,2025-09-01
61,29,13,2025-06-04,100,"Recommended based on good credit score, high income",100,0.1,90.0,declined,2025-08-11
62,30,46,2025-07-11,100,"Recommended based on excellent credit score, high income",100,0.2333,93.33,pending,2025-09-28
63,31,13,2025-06-28,100,Recommended based on stable income,100,0.5,60.0,accepted,2025-08-02
64,32,3,2025-06-28,100,Recommended based on low credit utilization,100,0.1,75.0,accepted,2025-10-02
65,33,46,2025-05-18,100,"Recommended based on excellent credit score, high income",100,0.3,100.0,pending,2025-09-28
66,33,31,2025-06-30,100,"Recommended based on excellent credit score, high income",100,0.3,100.0,pending,2025-09-20
67,33,14,2025-05-21,100,"Recommended based on excellent credit score, high income",100,0.3,100.0,pending,2025-08-17
68,34,27,2025-06-28,89,Recommended based on stable income,100,0.8,72.73,accepted,2025-10-01
69,35,38,2025-06-13,91,"Recommended based on good credit score, stable income",100,0.1,72.73,accepted,2025-08-07
70,35,50,2025-05-27,100,"Recommended based on good credit score, stable income",100,0.1,72.73,pending,2025-10-07
71,36,37,2025-05-17,97,"Recommended based on stable income, low credit utilization",100,0.1,66.67,accepted,2025-09-25
72,36,5,2025-07-13,87,"Recommended based on stable income, low credit utilization",100,0.1,66.67,accepted,2025-08-08
73,37,14,2025-06-02,94,"Recommended based on excellent credit score, high income",100,0.1,100.0,accepted,2025-09-29
74,37,42,2025-06-04,100,"Recommended based on excellent credit score, high income",100,0.1,100.0,pending,2025-09-18
75,37,13,2025-06-26,100,"Recommended based on excellent credit score, high income",100,0.1,100.0,pending,2025-07-23
76,38,3,2025-06-08,100,Recommended based on low credit utilization,100,0.05,66.67,declined,2025-07-24
77,39,46,2025-06-05,100,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,pending,2025-09-26
78,39,25,2025-05-19,81,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,pending,2025-08-06
79,39,5,2025-06-01,100,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,accepted,2025-09-27
80,39,35,2025-06-11,95,"Recommended based on good credit score, excellent payment history",100,0.5,100.0,pending,2025-07-28
81,40,30,2025-06-06,88,Recommended based on low credit utilization,100,0.0,66.67,accepted,2025-09-21
82,40,13,2025-06-02,100,Recommended based on low credit utilization,100,0.0,66.67,pending,2025-08-12
83,41,3,2025-05-21,100,Recommended based on stable income,100,0.5044,64.29,declined,2025-07-31
84,42,3,2025-07-02,100,Standard recommendation,100,0.4576,62.5,accepted,2025-08-22
85,43,11,2025-07-13,93,"Recommended based on excellent credit score, high income",100,0.1577,90.91,pending,2025-09-09
86,43,30,2025-06-26,100,"Recommended based on excellent credit score, high income",100,0.1577,90.91,pending,2025-09-13
87,43,37,2025-07-02,100,"Recommended based on excellent credit score, high income",100,0.1577,90.91,pending,2025-07-30
88,44,2,2025-05-25,93,"Recommended based on good credit score, excellent payment history",100,0.3,100.0,pending,2025-09-07
89,44,49,2025-06-13,75,"Recommended based on good credit score, excellent payment history",100,0.3,100.0,pending,2025-09-22
90,45,8,2025-06-27,100,"Recommended based on good credit score, low credit utilization",100,0.1,100.0,pending,2025-08-10
91,46,13,2025-07-04,100,"Recommended based on good credit score, excellent payment history",100,0.3,100.0,pending,2025-10-06
92,46,46,2025-06-01,97,"Recommended based on good credit score, excellent payment history",100,0.3,100.0,accepted,2025-09-26
93,47,40,2025-06-23,100,"Recommended based on excellent credit score, high income",100,0.064,100.0,accepted,2025-08-17
94,47,10,2025-06-23,100,"Recommended based on excellent credit score, high income",100,0.064,100.0,accepted,2025-09-27
95,47,8,2025-06-05,100,"Recommended based on excellent credit score, high income",100,0.064,100.0,pending,2025-08-03
96,48,3,2025-05-22,100,Standard recommendation,100,0.3111,72.73,pending,2025-09-22
97,48,5,2025-06-05,86,Standard recommendation,100,0.3111,72.73,declined,2025-09-09
98,48,21,2025-05-31,93,Standard recommendation,100,0.3111,72.73,declined,2025-07-18
99,49,15,2025-05-30,100,"Recommended based on excellent credit score, stable income",100,0.3,100.0,pending,2025-09-30
100,49,41,2025-07-08,82,"Recommended based on excellent credit score, stable income",100,0.3,100.0,accepted,2025-07-18
101,50,12,2025-06-08,100,"Recommended based on excellent credit score, high income",100,0.1,100.0,declined,2025-09-19
102,50,6,2025-07-14,98,"Recommended based on excellent credit score, high income",100,0.1,100.0,pending,2025-10-03
103,50,19,2025-06-21,98,"Recommended based on excellent credit score, high income",100,0.1,100.0,declined,2025-08-05
104,51,3,2025-06-13,100,Standard recommendation,100,0.3,66.67,declined,2025-08-27
