recommendation_id,member_id,product_id,recommendation_date,recommendation_score,recommendation_reason,member_health_score,credit_utilization_at_time,payment_reliability_at_time,recommendation_status,expires_at
1,1,42,2025-06-26,90,"Recommended based on excellent credit score, stable income",100,0.3358,100.0,accepted,2025-09-14
2,1,12,2025-06-28,100,"Recommended based on excellent credit score, stable income",100,0.3358,100.0,pending,2025-09-10
3,2,48,2025-07-18,89,"Recommended based on stable income, low credit utilization",100,0.1,50.0,accepted,2025-08-26
4,2,5,2025-06-10,100,"Recommended based on stable income, low credit utilization",100,0.1,50.0,pending,2025-10-28
5,2,28,2025-07-20,100,"Recommended based on stable income, low credit utilization",100,0.1,50.0,pending,2025-10-14
6,3,5,2025-07-14,100,"Recommended based on good credit score, high income",100,0.8,100.0,expired,2025-10-27
7,4,47,2025-06-08,98,Recommended based on low credit utilization,100,0.0549,63.64,pending,2025-09-05
8,5,34,2025-07-23,96,Recommended based on low credit utilization,100,0.0415,63.64,accepted,2025-09-22
9,6,13,2025-06-03,100,"Recommended based on excellent credit score, high income",100,0.1,85.71,pending,2025-10-25
10,7,11,2025-07-06,82,"Recommended based on good credit score, stable income",100,0.1776,85.71,accepted,2025-08-24
11,8,23,2025-06-21,88,Standard recommendation,100,0.3,75.0,expired,2025-10-11
12,9,13,2025-06-19,100,"Recommended based on excellent credit score, stable income",100,0.3,100.0,accepted,2025-09-07
13,10,13,2025-07-12,100,"Recommended based on excellent credit score, high income",100,0.1907,100.0,accepted,2025-09-13
14,10,25,2025-06-29,97,"Recommended based on excellent credit score, high income",100,0.1907,100.0,declined,2025-09-10
15,11,17,2025-06-17,90,"Recommended based on good credit score, stable income",100,0.3,87.5,accepted,2025-10-20
16,11,2,2025-06-13,100,"Recommended based on good credit score, stable income",100,0.3,87.5,expired,2025-09-10
17,11,41,2025-07-08,96,"Recommended based on good credit score, stable income",100,0.3,87.5,pending,2025-09-04
18,12,11,2025-06-21,100,"Recommended based on excellent credit score, high income",100,0.1047,100.0,pending,2025-08-08
19,12,14,2025-06-07,100,"Recommended based on excellent credit score, high income",100,0.1047,100.0,pending,2025-08-06
20,12,35,2025-07-16,100,"Recommended based on excellent credit score, high income",100,0.1047,100.0,pending,2025-10-14
21,13,5,2025-06-23,100,Standard recommendation,100,0.8,83.33,pending,2025-08-24
22,14,20,2025-06-07,100,"Recommended based on excellent credit score, high income",100,0.2131,87.5,accepted,2025-10-04
23,14,3,2025-07-15,100,"Recommended based on excellent credit score, high income",100,0.2131,87.5,accepted,2025-10-12
24,14,46,2025-07-25,100,"Recommended based on excellent credit score, high income",100,0.2131,87.5,pending,2025-10-17
25,15,47,2025-07-12,100,"Recommended based on stable income, low credit utilization",100,0.1,69.23,pending,2025-09-21
26,16,34,2025-07-24,100,Recommended based on stable income,100,0.3,83.33,pending,2025-10-19
27,16,23,2025-06-18,99,Recommended based on stable income,100,0.3,83.33,pending,2025-09-19
28,17,23,2025-06-11,93,Recommended based on stable income,100,0.5,66.67,declined,2025-09-13
29,18,3,2025-06-10,100,Recommended based on low credit utilization,100,0.1,42.86,accepted,2025-10-27
30,19,43,2025-06-04,100,"Recommended based on good credit score, stable income",100,0.1,100.0,accepted,2025-08-14
31,19,7,2025-06-30,100,"Recommended based on good credit score, stable income",100,0.1,100.0,declined,2025-08-23
32,20,17,2025-07-09,99,"Recommended based on good credit score, high income",100,0.5322,94.74,pending,2025-09-21
33,20,38,2025-07-06,100,"Recommended based on good credit score, high income",100,0.5322,94.74,pending,2025-10-06
34,21,23,2025-06-17,100,Recommended based on stable income,100,0.5,66.67,pending,2025-09-03
35,21,13,2025-06-29,92,Recommended based on stable income,100,0.5,66.67,declined,2025-08-29
36,21,34,2025-06-28,87,Recommended based on stable income,100,0.5,66.67,declined,2025-08-03
37,22,3,2025-07-18,100,"Recommended based on good credit score, high income",100,0.3,100.0,pending,2025-08-23
