













"Table Name","Column Name","Data Type","Description"
"alembic_version","version_num","varchar(32)","The version number for database schema migrations."
"financial_products","product_id","int","Unique identifier for each financial product."
"financial_products","product_name","varchar(100)","The name of the financial product."
"financial_products","product_type","enum","The type of the financial product (e.g., 'credit_card', 'mortgage')."
"financial_products","product_category","enum","The category of the financial product (e.g., 'premium', 'standard')."
"financial_products","interest_rate","decimal(5, 4)","The interest rate for the product."
"financial_products","credit_limit_min","decimal(10, 2)","The minimum credit limit for the product."
"financial_products","credit_limit_max","decimal(10, 2)","The maximum credit limit for the product."
"financial_products","minimum_income_required","decimal(10, 2)","The minimum annual income required for this product."
"financial_products","minimum_credit_score","int","The minimum credit score required for this product."
"financial_products","maximum_debt_to_income","decimal(5, 4)","The maximum debt-to-income ratio allowed for this product."
"financial_products","annual_fee","decimal(6, 2)","The annual fee associated with the product."
"financial_products","rewards_program","varchar(100)","Description of the rewards program."
"financial_products","benefits","text","A detailed description of the product's benefits."
"financial_products","eligibility_criteria","text","Detailed criteria for who is eligible for the product."
"financial_products","is_active","tinyint(1)","Indicates if the product is currently active (1) or inactive (0)."
"financial_products","created_at","timestamp","The timestamp when the record was created."
"financial_products","updated_at","timestamp","The timestamp when the record was last updated."
"members","member_id","int","Unique identifier for each member."
"members","first_name","varchar(50)","The first name of the member."
"members","last_name","varchar(50)","The last name of the member."
"members","email","varchar(100)","The unique email address of the member."
"members","phone","varchar(15)","The member's phone number."
"members","date_of_birth","date","The member's date of birth."
"members","address","varchar(255)","The member's street address."
"members","city","varchar(50)","The city where the member resides."
"members","state","varchar(50)","The state where the member resides."
"members","zip_code","varchar(10)","The member's zip code."
"members","annual_income","decimal(12, 2)","The member's annual income."
"members","employment_status","enum","The member's employment status (e.g., 'employed')."
"members","member_since","date","The date the member joined."
"members","member_status","enum","The current status of the member (e.g., 'active', 'inactive')."
"members","created_at","timestamp","The timestamp when the record was created."
"members","updated_at","timestamp","The timestamp when the record was last updated."
"credit_cards","card_id","int","Unique identifier for each credit card."
"credit_cards","member_id","int","Foreign key linking the credit card to a member."
"credit_cards","card_number","varchar(16)","The masked or last four digits of the credit card number."
"credit_cards","card_type","enum","The card network (e.g., 'visa', 'mastercard')."
"credit_cards","credit_limit","decimal(10, 2)","The total credit limit for the card."
"credit_cards","current_balance","decimal(10, 2)","The current outstanding balance on the card."
"credit_cards","apr_rate","decimal(5, 4)","The annual percentage rate for the card."
"credit_cards","minimum_payment","decimal(8, 2)","The minimum payment due on the card."
"credit_cards","payment_due_date","date","The date the minimum payment is due."
"credit_cards","card_status","enum","The current status of the card (e.g., 'active')."
"credit_cards","issue_date","date","The date the card was issued."
"credit_cards","expiry_date","date","The date the card expires."
"credit_cards","created_at","timestamp","The timestamp when the record was created."
"credit_cards","updated_at","timestamp","The timestamp when the record was last updated."
"financial_health_metrics","metric_id","int","Unique identifier for each financial health assessment."
"financial_health_metrics","member_id","int","Foreign key linking the assessment to a member."
"financial_health_metrics","assessment_date","date","The date the financial health assessment was performed."
"financial_health_metrics","credit_score","int","The member's credit score at the time of assessment."
"financial_health_metrics","debt_to_income_ratio","decimal(5, 4)","The member's debt-to-income ratio."
"financial_health_metrics","credit_utilization_ratio","decimal(5, 4)","The member's credit utilization ratio."
"financial_health_metrics","payment_reliability_score","decimal(5, 2)","A score indicating the member's payment reliability."
"financial_health_metrics","savings_balance","decimal(12, 2)","The member's savings account balance."
"financial_health_metrics","checking_balance","decimal(12, 2)","The member's checking account balance."
"financial_health_metrics","total_debt","decimal(12, 2)","The member's total outstanding debt."
"financial_health_metrics","number_of_accounts","int","The total number of credit accounts the member has."
"financial_health_metrics","recent_inquiries","int","The number of recent credit inquiries."
"financial_health_metrics","delinquent_accounts","int","The number of delinquent accounts."
"financial_health_metrics","health_score","decimal(5, 2)","An overall financial health score."
"financial_health_metrics","risk_category","enum","The member's risk category ('low', 'medium', 'high')."
"financial_health_metrics","created_at","timestamp","The timestamp when the record was created."
"payment_history","payment_id","int","Unique identifier for each payment record."
"payment_history","member_id","int","Foreign key linking the payment to a member."
"payment_history","card_id","int","Foreign key linking the payment to a specific credit card."
"payment_history","payment_date","date","The date the payment was made."
"payment_history","payment_amount","decimal(10, 2)","The amount of the payment."
"payment_history","minimum_due","decimal(10, 2)","The minimum amount due for that billing period."
"payment_history","payment_status","enum","The status of the payment (e.g., 'on_time', 'late')."
"payment_history","days_late","int","The number of days the payment was late."
"payment_history","late_fee","decimal(6, 2)","Any late fee charged for the payment."
"payment_history","statement_balance","decimal(10, 2)","The balance on the statement for which the payment was made."
"payment_history","payment_method","enum","The method used for the payment (e.g., 'auto_pay')."
"payment_history","created_at","timestamp","The timestamp when the record was created."
"product_recommendations","recommendation_id","bigint","Unique identifier for each recommendation."
"product_recommendations","member_id","bigint","Foreign key linking the recommendation to a member."
"product_recommendations","product_id","bigint","Foreign key linking the recommendation to a financial product."
"product_recommendations","recommendation_date","text","The date the recommendation was generated."
"product_recommendations","recommendation_score","bigint","A score indicating the relevance of the recommendation."
"product_recommendations","recommendation_reason","text","The reason for the recommendation."
"product_recommendations","member_health_score","bigint","The member's financial health score at the time of recommendation."
"product_recommendations","credit_utilization_at_time","double","The member's credit utilization at the time of recommendation."
"product_recommendations","payment_reliability_at_time","double","The member's payment reliability score at the time of recommendation."
"product_recommendations","recommendation_status","text","The status of the recommendation (e.g., 'sent', 'accepted')."
"product_recommendations","expires_at","text","The date the recommendation expires."






























































































































































